Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,61,0.15816678152997932,7.524590163934426,0.1547208821502412,3,0.07305306685044796,[]
C2,96,0.39627842866988283,11.979166666666666,0.13680220537560303,4,0.10096485182632667,"[1, 3]"
C3,138,0.4793246037215713,10.079710144927537,0.3769813921433494,4,0.11681598897312198,"[2, 4, 5, 6]"
C4,142,0.40868366643694004,8.352112676056338,0.3483804272915231,3,0.09372846312887664,[]
C5,99,0.425223983459683,12.464646464646465,0.14886285320468642,4,0.11233631977946244,[]
C6,119,0.29255685733976566,7.1344537815126055,0.03859407305306685,3,0.07925568573397657,[]
C7,17,0.03962784286698828,6.764705882352941,0.03893866299104066,4,0.016195727084769126,[]
C8,34,0.07753273604410751,6.617647058823529,0.014817367332873881,4,0.03445899379738112,[]
C9,22,0.04996554100620262,6.590909090909091,0.028945554789800137,4,0.026878015161957272,[]
C10,13,0.02929014472777395,6.538461538461538,0.028256374913852515,5,0.016540317022742935,[]
C11,22,0.05065472088215024,6.681818181818182,0.02067539627842867,4,0.02446588559614059,[]
C12,69,0.1919365954514128,8.072463768115941,0.15644383184011026,3,0.07443142660234321,[]
