Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,88,0.15412186379928317,7.329545454545454,0.15197132616487455,1,0.06833930704898447,[5]
C2,150,0.3992831541218638,11.14,0.14623655913978495,1,0.18112305854241337,"[1, 6]"
C3,138,0.3127837514934289,9.485507246376812,0.18064516129032257,1,0.12951015531660692,[]
C4,117,0.207168458781362,7.410256410256411,0.1906810035842294,1,0.0986857825567503,[]
C5,136,0.2721624850657109,8.375,0.0939068100358423,1,0.10919952210274791,[]
C6,115,0.3027479091995221,11.017391304347827,0.11565113500597371,2,0.12520908004778972,"[2, 3]"
C7,61,0.11684587813620072,8.01639344262295,0.11589008363201912,1,0.03775388291517324,[]
C8,82,0.17467144563918757,8.914634146341463,0.03225806451612903,2,0.06666666666666667,[4]
C9,51,0.08888888888888889,7.294117647058823,0.04922341696535245,2,0.05400238948626045,[]
C10,30,0.05209080047789725,7.266666666666667,0.04970131421744325,2,0.03894862604540024,[]
C11,56,0.10442054958183991,7.803571428571429,0.04396654719235364,2,0.06332138590203107,[]
C12,106,0.22461170848267623,8.867924528301886,0.15125448028673835,1,0.08339307048984468,[]
