Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,22,0.05616715344866322,11.363636363636363,0.05571781622107391,6,0.015277465738036396,[]
C2,71,0.23298135250505506,14.605633802816902,0.06403055493147607,6,0.056616490676252525,[1]
C3,78,0.2523028532913952,14.397435897435898,0.1431139069871939,4,0.08290271849022691,[4]
C4,69,0.1606380588631768,10.36231884057971,0.14760727926308695,4,0.060885194338350934,[]
C5,108,0.3190294315884071,13.148148148148149,0.11458099303527297,4,0.07436531116603011,[]
C6,93,0.3300381936643451,15.795698924731182,0.03639631543473377,6,0.06942260166254774,"[2, 3, 5, 6]"
C7,19,0.03729498988991238,8.736842105263158,0.03707032127611773,5,0.016625477420804315,[]
C8,33,0.08065603235228039,10.878787878787879,0.009885419006964727,5,0.03325095484160863,[]
C9,12,0.028982251179510223,10.75,0.010334756234554033,4,0.011233430689732645,[]
C10,8,0.01325544821388452,7.375,0.012581442372500562,5,0.0051673781172770165,[]
C11,18,0.03257694900022467,8.055555555555555,0.010559424848348686,5,0.011907436531116602,[]
C12,28,0.09368681195237025,14.892857142857142,0.05594248483486857,5,0.02246686137946529,[]
