Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,10,0.025548387096774195,9.9,0.025548387096774195,6,0.008774193548387097,[]
C2,35,0.15638709677419355,17.314285714285713,0.03587096774193548,4,0.05961290322580645,[]
C3,54,0.20283870967741935,14.555555555555555,0.11458064516129032,4,0.06838709677419355,[]
C4,41,0.1192258064516129,11.268292682926829,0.09832258064516129,2,0.03561290322580645,[]
C5,54,0.2224516129032258,15.962962962962964,0.05316129032258064,2,0.05393548387096774,[2]
C6,54,0.35096774193548386,25.185185185185187,0.07380645161290322,4,0.07819354838709677,"[1, 3, 4, 5, 6]"
C7,29,0.07406451612903225,9.89655172413793,0.07380645161290322,4,0.030451612903225806,[]
C8,38,0.13135483870967743,13.394736842105264,0.01264516129032258,4,0.04387096774193548,[]
C9,18,0.05806451612903226,12.5,0.025548387096774195,5,0.023483870967741936,[]
C10,10,0.029161290322580646,11.3,0.028129032258064516,1,0.014193548387096775,[]
C11,17,0.05729032258064516,13.058823529411764,0.008774193548387097,5,0.024,[]
C12,21,0.06683870967741935,12.333333333333334,0.024774193548387096,5,0.023741935483870966,[]
