Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,21,0.04505437597099948,8.285714285714286,0.044536509580528225,4,0.01294665976178146,[]
C2,42,0.14810978767477992,13.619047619047619,0.046090108751942,1,0.044536509580528225,[]
C3,70,0.1765924391506991,9.742857142857142,0.12351113412739513,5,0.047125841532884516,[]
C4,57,0.12972553081305024,8.789473684210526,0.11030554117037804,5,0.041170378042465046,[]
C5,66,0.19730709476954947,11.545454545454545,0.07742102537545313,5,0.050750906266183324,[]
C6,101,0.5253754531330916,20.08910891089109,0.2216468151216986,2,0.10020714655618851,"[1, 2, 3, 4, 5, 6]"
C7,91,0.22216468151216986,9.428571428571429,0.22061108234075608,4,0.059036768513723456,[]
C8,105,0.3029518384256862,11.142857142857142,0.02848265147591921,4,0.0859658208182289,[]
C9,32,0.07845675815639565,9.46875,0.033661315380631794,5,0.02615225271879855,[]
C10,15,0.03702744691869498,9.533333333333333,0.035732780942516834,5,0.015535991714137753,[]
C11,26,0.0683583635422061,10.153846153846153,0.018643190056965304,4,0.02278612118073537,[]
C12,32,0.08104609010875194,9.78125,0.044277576385292595,4,0.024857586742620404,[]
