Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,1140,0.7952888390353338,2.487719298245614,0.7330342120022434,4,0.2125630959057768,"[4, 5, 6]"
C2,624,0.7366797532249019,4.209935897435898,0.5661805945036456,4,0.196578799775659,[]
C3,547,0.7540661805945037,4.915904936014625,0.7218171620863713,4,0.1982613572630398,[3]
C4,671,0.7476163768928772,3.9731743666169894,0.7187324733595064,4,0.1977005047672462,[]
C5,537,0.7411665731912507,4.921787709497207,0.556926528323051,4,0.19742007851934942,[]
C6,589,0.7030286034772855,4.256366723259762,0.6999439147504206,4,0.1777902411665732,[]
C7,1114,0.7607964105440269,2.4353680430879714,0.7504206393718452,4,0.19433538979248458,[]
C8,1044,0.7532249018508133,2.5727969348659006,0.09478407178911946,4,0.19181155356141336,[2]
C9,128,0.13712843522153673,3.8203125,0.12030286034772855,5,0.04262478968031408,[]
C10,145,0.12282669657879977,3.0206896551724136,0.12002243409983174,5,0.04094223219293326,[]
C11,133,0.13993269770050476,3.7518796992481205,0.10515984296130118,5,0.04374649467190129,[]
C12,1065,0.7891194615816041,2.6422535211267606,0.7854739203589456,4,0.21031968592260236,[1]
