Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,885,0.6293859649122807,2.5943502824858755,0.5932017543859649,1,0.1581688596491228,"[1, 6]"
C2,561,0.5978618421052632,3.8877005347593583,0.35389254385964913,1,0.14830043859649122,[]
C3,450,0.5120614035087719,4.151111111111111,0.4838267543859649,3,0.12966008771929824,[]
C4,540,0.5010964912280702,3.3851851851851853,0.4849232456140351,3,0.12746710526315788,[]
C5,453,0.5411184210526315,4.357615894039735,0.41091008771929827,3,0.13651315789473684,[]
C6,581,0.740953947368421,4.652323580034423,0.7371162280701754,2,0.19682017543859648,[]
C7,961,0.7705592105263158,2.9250780437044743,0.7543859649122807,2,0.20367324561403508,"[2, 3, 4, 5]"
C8,793,0.7571271929824561,3.4829760403530896,0.2012061403508772,2,0.20038377192982457,[]
C9,260,0.2738486842105263,3.8423076923076924,0.24095394736842105,2,0.07730263157894737,[]
C10,306,0.24945175438596492,2.973856209150327,0.23958333333333334,2,0.06990131578947369,[]
C11,255,0.26480263157894735,3.788235294117647,0.18146929824561403,2,0.07209429824561403,[]
C12,739,0.6167763157894737,3.044654939106901,0.6121162280701754,1,0.15652412280701755,[]
