Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,19,0.057825567502986855,12.736842105263158,0.05734767025089606,1,0.027479091995221028,[5]
C2,62,0.2752688172043011,18.580645161290324,0.04229390681003584,1,0.11421744324970132,"[1, 3, 6]"
C3,52,0.1911589008363202,15.384615384615385,0.07741935483870968,1,0.08626045400238949,[]
C4,34,0.08888888888888889,10.941176470588236,0.08100358422939068,1,0.043010752688172046,[]
C5,41,0.13763440860215054,14.048780487804878,0.021027479091995222,1,0.04946236559139785,[]
C6,38,0.1956989247311828,21.55263157894737,0.05017921146953405,2,0.08410991636798089,"[2, 4]"
C7,15,0.05017921146953405,14.0,0.04994026284348865,4,0.022222222222222223,[]
C8,26,0.0934289127837515,15.038461538461538,0.005495818399044205,1,0.032974910394265235,[]
C9,10,0.03249701314217443,13.6,0.01887694145758662,2,0.025089605734767026,[]
C10,6,0.01959378733572282,13.666666666666666,0.017921146953405017,2,0.01959378733572282,[]
C11,11,0.03894862604540024,14.818181818181818,0.009557945041816009,2,0.033213859020310633,[]
C12,37,0.12712066905615294,14.378378378378379,0.05734767025089606,2,0.055197132616487454,[]
