Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,6,0.01729032258064516,11.166666666666666,0.01729032258064516,6,0.008774193548387097,[]
C2,29,0.144,19.24137931034483,0.02967741935483871,4,0.04929032258064516,[]
C3,46,0.1863225806451613,15.695652173913043,0.09780645161290323,4,0.06012903225806451,[]
C4,33,0.10270967741935484,12.06060606060606,0.08232258064516129,2,0.03354838709677419,[]
C5,44,0.20180645161290323,17.772727272727273,0.04206451612903226,2,0.05341935483870968,[2]
C6,47,0.3365161290322581,27.74468085106383,0.04103225806451613,4,0.07406451612903225,"[1, 3, 4, 5, 6]"
C7,13,0.04103225806451613,12.23076923076923,0.04103225806451613,6,0.01806451612903226,[]
C8,27,0.10864516129032258,15.592592592592593,0.010580645161290323,4,0.03354838709677419,[]
C9,12,0.04567741935483871,14.75,0.015483870967741935,5,0.01935483870967742,[]
C10,5,0.018838709677419355,14.6,0.018838709677419355,1,0.011612903225806452,[]
C11,9,0.0407741935483871,17.555555555555557,0.00567741935483871,5,0.019870967741935485,[]
C12,19,0.06270967741935483,12.789473684210526,0.01703225806451613,5,0.02167741935483871,[]
