Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,18,0.08796579108124618,16.0,0.08766035430665853,3,0.07849725106902872,[6]
C2,27,0.2898594990836897,35.148148148148145,0.015577275503970677,3,0.14569334147831398,[3]
C3,51,0.2767257177764203,17.764705882352942,0.18998167379352474,4,0.10934636530238241,"[1, 4]"
C4,45,0.19150885766646306,13.933333333333334,0.1310323762981063,4,0.09193646915088577,[]
C5,17,0.18173488087965792,35.0,0.010690287110568112,4,0.07788637751985339,[]
C6,13,0.1371411117898595,34.53846153846154,0.045510079413561395,2,0.08368967623701894,"[2, 5]"
C7,9,0.045510079413561395,16.555555555555557,0.04520464263897373,2,0.023518631643249847,[]
C8,11,0.05436774587660354,16.181818181818183,0.002443494196701283,2,0.02718387293830177,[]
C9,6,0.036957849725106906,20.166666666666668,0.020158827122785584,5,0.036957849725106906,[]
C10,6,0.020158827122785584,11.0,0.020158827122785584,5,0.020158827122785584,[]
C11,6,0.021380574221136223,11.666666666666666,0.0006108735491753207,5,0.021380574221136223,[]
C12,16,0.15577275503970678,31.875,0.08796579108124618,3,0.12889431887599268,[]
