Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,27,0.11470985155195682,15.74074074074074,0.11470985155195682,3,0.10607287449392712,[]
C2,19,0.2804318488529015,54.68421052631579,0.015654520917678813,3,0.11282051282051282,"[5, 6]"
C3,27,0.1816464237516869,24.925925925925927,0.1290148448043185,1,0.07584345479082322,[]
C4,42,0.1622132253711201,14.30952380952381,0.15708502024291499,1,0.07935222672064778,[]
C5,46,0.2923076923076923,23.543478260869566,0.01970310391363023,4,0.12766531713900134,"[1, 4]"
C6,17,0.13873144399460188,30.235294117647058,0.022672064777327937,2,0.05910931174089069,[2]
C7,7,0.022672064777327937,12.0,0.022672064777327937,5,0.022672064777327937,[]
C8,9,0.02941970310391363,12.11111111111111,0.001349527665317139,5,0.025371120107962213,[]
C9,4,0.02456140350877193,22.75,0.014844804318488529,5,0.02456140350877193,[]
C10,4,0.01592442645074224,14.75,0.01592442645074224,5,0.01592442645074224,[]
C11,6,0.028070175438596492,17.333333333333332,0.005937921727395412,5,0.017543859649122806,[]
C12,31,0.203778677462888,24.35483870967742,0.11443994601889339,3,0.18110661268556005,[3]
