Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,24,0.10818908122503329,13.541666666666666,0.10752330226364847,2,0.08055925432756325,[6]
C2,39,0.18908122503328895,14.564102564102564,0.02130492676431425,2,0.10452729693741677,[]
C3,42,0.17010652463382156,12.166666666666666,0.1281624500665779,1,0.0822237017310253,[]
C4,39,0.13881491344873503,10.692307692307692,0.10752330226364847,1,0.0788948069241012,[]
C5,40,0.24300932090545938,18.25,0.05858854860186418,1,0.1384820239680426,[1]
C6,35,0.2693075898801598,23.114285714285714,0.045938748335552594,1,0.09187749667110519,[4]
C7,11,0.046271637816245006,12.636363636363637,0.046271637816245006,2,0.0296271637816245,[]
C8,15,0.08322237017310254,16.666666666666668,0.006657789613848202,2,0.05958721704394141,[]
C9,6,0.04727030625832224,23.666666666666668,0.018308921438082555,2,0.020639147802929428,[5]
C10,7,0.021970705725699067,9.428571428571429,0.020972037283621837,5,0.010652463382157125,[]
C11,9,0.034287616511318245,11.444444444444445,0.005992010652463382,5,0.013315579227696404,[]
C12,20,0.23801597869507324,35.75,0.10818908122503329,2,0.11884154460719042,"[2, 3]"
