Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,50,0.11825922421948912,12.5,0.11788079470198676,3,0.04389782403027436,[]
C2,44,0.18713339640491958,22.477272727272727,0.010406811731315043,3,0.05733207190160833,[]
C3,34,0.09877010406811731,15.352941176470589,0.0781456953642384,6,0.03859981078524125,[]
C4,37,0.08249763481551561,11.783783783783784,0.0696310312204352,6,0.03746452223273415,[]
C5,53,0.13509933774834437,13.471698113207546,0.04219489120151372,1,0.05676442762535478,[]
C6,58,0.3587511825922422,32.689655172413794,0.15421002838221382,4,0.1706717123935667,"[1, 4]"
C7,73,0.15421002838221382,11.164383561643836,0.15402081362346262,4,0.07076631977294229,[]
C8,74,0.18789025543992433,13.41891891891892,0.0087038789025544,4,0.08344370860927153,[]
C9,43,0.1120151371807001,13.767441860465116,0.09441816461684012,6,0.05487228003784295,[]
C10,53,0.10482497634815516,10.452830188679245,0.09082308420056764,6,0.05260170293282876,[]
C11,45,0.1436140018921476,16.866666666666667,0.02857142857142857,6,0.05525070955534532,[6]
C12,59,0.2578997161778619,23.10169491525424,0.11825922421948912,3,0.10406811731315042,"[2, 3, 5]"
