Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,123,0.22994431841616828,9.065040650406504,0.2291194060631058,3,0.07671684883481131,[]
C2,138,0.3604866982883069,12.666666666666666,0.06846772530418643,3,0.08847184986595175,[2]
C3,72,0.1695194885543411,11.416666666666666,0.119406063105795,1,0.07176737471643638,[]
C4,79,0.13487316972571664,8.278481012658228,0.12435553722416993,1,0.06496184780367086,[]
C5,132,0.2188080016498247,8.037878787878787,0.09878325427923283,1,0.10826974633945144,[1]
C6,79,0.3085172200453702,18.936708860759495,0.08063518251185811,4,0.14518457413899774,[4]
C7,60,0.08166632295318622,6.6,0.08063518251185811,4,0.04372035471231182,[]
C8,63,0.12538667766549805,9.65079365079365,0.016498247061249742,4,0.0530006186842648,[6]
C9,53,0.07114869045163952,6.509433962264151,0.05630026809651475,5,0.023922458238812127,[]
C10,45,0.0577438647143741,6.222222222222222,0.04310167044751495,5,0.022891317797484018,[]
C11,48,0.12435553722416993,12.5625,0.08249123530624872,5,0.06124974221488967,[]
C12,153,0.4091565271189936,12.967320261437909,0.2280882656217777,3,0.12456176531243555,"[3, 5]"
