Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,214,0.3265172938873178,7.014018691588785,0.3243419621492278,3,0.12138351098542528,[]
C2,201,0.49140743963454425,11.238805970149254,0.19926038720904937,3,0.1522732216663041,[6]
C3,310,0.3780726560800522,5.606451612903226,0.22318903632804002,1,0.15140308897106808,[1]
C4,213,0.23776375897324342,5.131455399061033,0.18729606264955406,1,0.10854905373069393,[]
C5,133,0.29062432020883183,10.045112781954888,0.1746791385686317,4,0.12421144224494235,[]
C6,178,0.3093321731564064,7.98876404494382,0.06569501849031978,4,0.15336088753534913,[4]
C7,53,0.06808788340221884,5.90566037735849,0.06743528388079183,4,0.026974113552316728,[]
C8,83,0.11638024798781814,6.445783132530121,0.04981509680226234,4,0.03763323906895802,[]
C9,68,0.09701979551881662,6.5588235294117645,0.07004568196649989,6,0.022840983249945615,[]
C10,54,0.07374374592125299,6.277777777777778,0.06482488579508375,6,0.01957798564281053,[]
C11,142,0.185555797259082,6.007042253521127,0.14618229279965195,3,0.09136393299978246,[]
C12,191,0.4383293452251468,10.549738219895287,0.3258646943658908,3,0.17598433761148574,"[2, 3, 5]"
