Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,21,0.08305578684429642,19.0,0.08305578684429642,3,0.0749375520399667,[]
C2,31,0.1384263114071607,21.451612903225808,0.011032472939217318,3,0.08097418817651957,[]
C3,23,0.11615320566194838,24.26086956521739,0.06390507910074937,1,0.06286427976686094,[1]
C4,27,0.07930890924229808,14.11111111111111,0.07452123230641132,1,0.040174854288093254,[]
C5,42,0.18526228143213988,21.19047619047619,0.03538717735220649,2,0.0791007493755204,[2]
C6,49,0.2531223980016653,24.816326530612244,0.04204829308909242,4,0.10470441298917568,"[4, 5]"
C7,16,0.04204829308909242,12.625,0.04204829308909242,1,0.01623646960865945,[]
C8,20,0.06910907577019151,16.6,0.003746877601998335,1,0.02289758534554538,[6]
C9,19,0.07452123230641132,18.842105263157894,0.0636969192339717,1,0.03476269775187344,[]
C10,19,0.06702747710241465,16.94736842105263,0.061823480432972526,1,0.03205661948376353,[]
C11,31,0.15174854288093256,23.516129032258064,0.03934221482098251,3,0.05807660283097419,[]
C12,45,0.23043297252289757,24.6,0.08284762697751874,3,0.14363030807660282,[3]
