Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,37,0.09640969564425005,14.297297297297296,0.09640969564425005,4,0.032987060324403135,[]
C2,61,0.2334609075997813,21.0,0.030982321851649352,4,0.05923090942227082,[6]
C3,56,0.1643885547658101,16.107142857142858,0.09057772917805723,1,0.06816110807362857,[]
C4,44,0.09969017678148351,12.431818181818182,0.07836704938946601,1,0.031346819755786404,[]
C5,47,0.2383816293056315,27.829787234042552,0.03809003098232185,4,0.08675050118461819,"[1, 2, 4]"
C6,36,0.13121924548933844,20.0,0.01658465463823583,4,0.06378713322398397,[]
C7,7,0.01658465463823583,13.0,0.01658465463823583,6,0.00911244760342628,[]
C8,14,0.03316930927647166,13.0,0.0016402405686167304,4,0.014397667213413522,[]
C9,14,0.041735010023692364,16.357142857142858,0.03681428831784217,6,0.02186987424822307,[]
C10,16,0.040277018407144156,13.8125,0.03790778203025333,6,0.022598870056497175,[]
C11,22,0.07144158921086204,17.818181818181817,0.01202843083652269,6,0.023510114816839803,[]
C12,45,0.2505923090942227,30.555555555555557,0.09622744669218151,3,0.08802624384909787,"[3, 5]"
