Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,1199,0.8018804566823371,2.987489574645538,0.7678531452876651,6,0.1902843071412581,"[3, 5, 6]"
C2,748,0.7716588314304903,4.608288770053476,0.4175061562569957,6,0.1837922543093799,[]
C3,602,0.5674949630624581,4.210963455149502,0.5182449070964853,4,0.163644504141482,[1]
C4,690,0.5305574210879785,3.4347826086956523,0.5066039847772554,4,0.1524513096037609,[]
C5,529,0.533467651667786,4.504725897920605,0.3861652115513768,4,0.16319677635997312,[]
C6,559,0.5343631072308037,4.270125223613595,0.5287665099619432,4,0.1743899708976942,[]
C7,1025,0.5695097380792478,2.481951219512195,0.5612267741213343,4,0.18312066263711663,[4]
C8,936,0.565927915827177,2.700854700854701,0.10745466756212223,4,0.18312066263711663,[2]
C9,359,0.2278934407880009,2.8356545961002784,0.21401387956122678,3,0.06447280053727333,[]
C10,381,0.21737183792254308,2.5485564304461943,0.20841728229236625,3,0.06357734497425566,[]
C11,322,0.2802775912245355,3.888198757763975,0.23998209088873965,5,0.08417282292366242,[]
C12,915,0.7931497649429147,3.8721311475409834,0.7875531676740541,6,0.18849339601522275,[]
