Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,14,0.04934415990006246,16.928571428571427,0.04934415990006246,6,0.02977305850510098,[]
C2,29,0.11992504684572143,19.862068965517242,0.022277743077243388,6,0.046012908598792424,[]
C3,24,0.10077035186341869,20.166666666666668,0.046845721424109935,1,0.036019154694982305,[1]
C4,21,0.0545492400582969,12.476190476190476,0.04851134707474495,1,0.01894649177597335,[]
C5,38,0.13699770976473039,17.31578947368421,0.03830938996460546,4,0.03352071621902977,[]
C6,42,0.29793878825733916,34.07142857142857,0.036019154694982305,4,0.18467624401415783,[4]
C7,11,0.036019154694982305,15.727272727272727,0.036019154694982305,4,0.023735165521549032,[]
C8,21,0.11534457630647511,26.38095238095238,0.007078909015198834,6,0.03872579637726421,[]
C9,10,0.03622735790131168,17.4,0.012700395586092025,5,0.015407037268373933,[]
C10,5,0.014366021236727046,13.8,0.013741411617738912,5,0.009160941078492609,[]
C11,17,0.061211742660836975,17.294117647058822,0.018530085363314595,5,0.02290235269623152,[]
C12,31,0.2485946283572767,38.516129032258064,0.049135956693733086,6,0.06162814907349573,"[2, 3, 5, 6]"
