Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,3,0.009441183975503956,12.333333333333334,0.009441183975503956,6,0.006634345496300076,[]
C2,21,0.07655014034192396,14.285714285714286,0.012503189589180914,3,0.033937228884919624,[6]
C3,32,0.10487369226843582,12.84375,0.06455728502168921,3,0.03699923449859658,[]
C4,23,0.06966062771115081,11.869565217391305,0.05664710385302373,3,0.02475121204388875,[]
C5,37,0.13243174279152845,14.027027027027026,0.015310028068384792,3,0.04133707578463894,[]
C6,69,0.38428170451645827,21.82608695652174,0.11941821893340138,1,0.11559071191630518,"[1, 2, 3, 4, 5]"
C7,36,0.11967338606787446,13.027777777777779,0.11865271752998213,1,0.05307476397040061,[]
C8,53,0.21536106149527942,15.924528301886792,0.007910181168665476,1,0.08063281449349324,[]
C9,7,0.02117887216126563,11.857142857142858,0.0028068384792038787,2,0.009441183975503956,[]
C10,1,0.0028068384792038787,11.0,0.0022965042102577188,2,0.0028068384792038787,[]
C11,5,0.014799693799438633,11.6,0.0022965042102577188,2,0.009441183975503956,[]
C12,15,0.05332993110487369,13.933333333333334,0.009441183975503956,6,0.013013523858127074,[]
