Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,64,0.11560560790622845,7.859375,0.11353711790393013,3,0.03884164559871294,[]
C2,128,0.25879108250976784,8.796875,0.090553895656171,3,0.08871523787635026,[]
C3,155,0.3157894736842105,8.864516129032259,0.2525856125028729,3,0.0958400367731556,[4]
C4,151,0.26683521029648355,7.688741721854305,0.23534819581705355,2,0.0825097678694553,[]
C5,194,0.40266605378074005,9.030927835051546,0.1997242013330269,1,0.14456446793840497,[]
C6,199,0.46701907607446563,10.21105527638191,0.12571822569524246,1,0.17490232130544703,"[1, 2, 3]"
C7,86,0.12847621236497356,6.5,0.127097219030108,1,0.0425189611583544,[]
C8,105,0.17743047575270052,7.352380952380952,0.024362215582624684,1,0.06274419673638244,[5]
C9,44,0.06435302229372558,6.363636363636363,0.033095840036773155,1,0.019535738910595266,[]
C10,26,0.034704665594116293,5.8076923076923075,0.030108021144564467,2,0.01011261778901402,[]
C11,43,0.06734084118593427,6.813953488372093,0.029188692254654102,2,0.021604228912893587,[]
C12,87,0.1808779590898644,9.045977011494253,0.11376695012640772,3,0.05722822339692025,[6]
