Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,989,0.5933669790915646,2.4964610717896867,0.5573179524152848,3,0.15933669790915644,"[5, 6]"
C2,620,0.5640471040615237,3.785483870967742,0.40206681086277335,3,0.1499639509733237,[]
C3,652,0.6034607065609229,3.8512269938650308,0.5784667147320356,3,0.20355683729872626,[]
C4,747,0.5926459985580389,3.3012048192771086,0.5638067772170151,3,0.20355683729872626,[]
C5,574,0.6262917567892333,4.54006968641115,0.483297284306657,3,0.2076423936553713,[]
C6,598,0.7664023071377073,5.332775919732441,0.7599134823359769,3,0.22855082912761354,[]
C7,1141,0.8082191780821918,2.9474145486415426,0.7930785868781542,3,0.24897861091083873,"[1, 3, 4]"
C8,998,0.7990867579908676,3.3316633266533064,0.16029800528719057,3,0.24897861091083873,[2]
C9,258,0.22013938956981494,3.550387596899225,0.18457101658255226,3,0.05335255948089401,[]
C10,309,0.1925018024513338,2.592233009708738,0.1893775534727229,3,0.045662100456621,[]
C11,278,0.2160538332131699,3.2338129496402876,0.13987022350396539,3,0.05191059841384282,[]
C12,894,0.5880797885123769,2.737136465324385,0.5811103100216294,3,0.15765440999759672,[]
