Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,11,0.07169954476479515,17.181818181818183,0.07169954476479515,3,0.03983308042488619,[]
C2,10,0.19613050075872535,51.7,0.004552352048558422,3,0.06676783004552352,"[5, 6]"
C3,9,0.09066767830045523,26.555555555555557,0.06562974203338391,2,0.05804248861911988,[2]
C4,14,0.08004552352048558,15.071428571428571,0.08004552352048558,2,0.044764795144157814,[]
C5,19,0.11722306525037936,16.263157894736842,0.012898330804248861,2,0.05538694992412747,[]
C6,30,0.37177541729893776,32.666666666666664,0.20182094081942337,1,0.22344461305007587,[1]
C7,29,0.20182094081942337,18.344827586206897,0.20182094081942337,1,0.10887708649468893,[]
C8,25,0.3122154779969651,32.92,0.0034142640364188165,1,0.15553869499241274,[4]
C9,5,0.03755690440060698,19.8,0.010622154779969651,2,0.019347496206373292,[]
C10,3,0.012898330804248861,11.333333333333334,0.012898330804248861,5,0.00834597875569044,[]
C11,5,0.02541729893778452,13.4,0.002276176024279211,5,0.011380880121396054,[]
C12,9,0.13125948406676782,38.44444444444444,0.07169954476479515,3,0.06942336874051594,[3]
