Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,6,0.014705882352941176,5.833333333333333,0.014285714285714285,2,0.0054621848739495795,[]
C2,66,0.19957983193277312,7.196969696969697,0.1092436974789916,5,0.14285714285714285,[3]
C3,43,0.22394957983193278,12.395348837209303,0.146218487394958,5,0.1357142857142857,[6]
C4,65,0.18529411764705883,6.7846153846153845,0.17436974789915966,5,0.1222689075630252,[]
C5,82,0.2638655462184874,7.658536585365853,0.08781512605042016,5,0.1495798319327731,[5]
C6,122,0.4088235294117647,7.975409836065574,0.25546218487394956,4,0.16512605042016806,[]
C7,93,0.257563025210084,6.591397849462366,0.25504201680672267,4,0.09915966386554621,[]
C8,63,0.446218487394958,16.857142857142858,0.07941176470588235,4,0.1773109243697479,"[1, 2, 4]"
C9,45,0.15546218487394958,8.222222222222221,0.06470588235294118,4,0.0819327731092437,[]
C10,24,0.07016806722689076,6.958333333333333,0.06722689075630252,4,0.034873949579831934,[]
C11,29,0.08949579831932773,7.344827586206897,0.024789915966386553,4,0.040756302521008404,[]
C12,25,0.06218487394957983,5.92,0.014285714285714285,5,0.030672268907563024,[]
