Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,4,0.013385387618516454,12.0,0.013385387618516454,3,0.009202453987730062,[]
C2,18,0.1291132180702733,25.72222222222222,0.023424428332403793,5,0.05828220858895705,[]
C3,40,0.1988287785833798,17.825,0.11042944785276074,5,0.06609035136642498,[5]
C4,31,0.11879531511433351,13.741935483870968,0.10206358059118795,4,0.0448968209704406,[]
C5,38,0.23145566090351366,21.842105263157894,0.02509760178471835,4,0.05911879531511433,"[2, 4]"
C6,38,0.2593418851087563,24.473684210526315,0.04182933630786392,3,0.0886781929726715,"[1, 3]"
C7,10,0.04182933630786392,15.0,0.04155047406581149,5,0.021193530395984383,[]
C8,20,0.10875627440044618,19.5,0.010039040713887339,5,0.03151143335192415,[]
C9,11,0.046012269938650305,15.0,0.023424428332403793,4,0.02844394868934746,[]
C10,6,0.025934188510875627,15.5,0.023703290574456217,4,0.017568321249302844,[]
C11,7,0.03485778025655326,17.857142857142858,0.004461795872838818,4,0.018962632459564976,[]
C12,11,0.0448968209704406,14.636363636363637,0.013385387618516454,6,0.015895147796988286,[6]
