Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,349,0.32906712172923774,3.315186246418338,0.28014789533560863,5,0.13964732650739475,[]
C2,305,0.5096700796359499,5.8754098360655735,0.36888509670079633,4,0.19169510807736065,"[3, 5, 6]"
C3,263,0.5045506257110353,6.745247148288973,0.4328782707622298,4,0.1945392491467577,[]
C4,398,0.502844141069397,4.442211055276382,0.4729806598407281,4,0.19965870307167236,[]
C5,435,0.613481228668942,4.958620689655173,0.4047212741751991,4,0.229806598407281,[2]
C6,360,0.6214448236632537,6.069444444444445,0.3731513083048919,4,0.2565415244596132,"[1, 4]"
C7,303,0.3939135381114903,4.570957095709571,0.38850967007963594,4,0.1606939704209329,[]
C8,302,0.4462457337883959,5.195364238410596,0.11376564277588168,4,0.18714448236632536,[]
C9,100,0.141353811149033,4.97,0.08191126279863481,4,0.07025028441410694,[]
C10,69,0.08987485779294653,4.579710144927536,0.08816837315130831,4,0.04835039817974972,[]
C11,89,0.12343572241183162,4.876404494382022,0.08816837315130831,4,0.05944254835039818,[]
C12,378,0.3779863481228669,3.515873015873016,0.3245164960182025,5,0.14590443686006827,[]
