Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,599,0.542778649921507,2.308848080133556,0.5058869701726845,5,0.26373626373626374,[]
C2,399,0.5094191522762951,3.2531328320802007,0.3202511773940345,5,0.25510204081632654,[]
C3,254,0.45172684458398743,4.531496062992126,0.4368131868131868,5,0.22762951334379905,[]
C4,314,0.45486656200941916,3.6910828025477707,0.43759811616954475,5,0.22213500784929358,[6]
C5,250,0.4697802197802198,4.788,0.3579277864992151,5,0.23508634222919939,[]
C6,523,0.8575353218210361,4.177820267686425,0.8536106750392465,5,0.41051805337519626,[1]
C7,753,0.8936420722135008,3.0239043824701195,0.8606750392464678,5,0.42543171114599687,"[2, 3, 4, 5]"
C8,516,0.8638147566718996,4.265503875968992,0.32142857142857145,5,0.41365777080062793,[]
C9,216,0.3834379905808477,4.523148148148148,0.3033751962323391,5,0.1801412872841444,[]
C10,296,0.32535321821036106,2.800675675675676,0.32299843014128726,5,0.15384615384615385,[]
C11,285,0.33634222919937207,3.007017543859649,0.17032967032967034,5,0.15816326530612246,[]
C12,527,0.5298273155416012,2.5616698292220113,0.5270800627943485,5,0.2566718995290424,[]
