Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,181,0.1816519353855532,3.292817679558011,0.15696434014020116,3,0.053946967387991464,[]
C2,329,0.4635781773849436,4.623100303951368,0.39286802804023163,3,0.13623895153916488,[]
C3,187,0.48399878085949405,8.491978609625669,0.4468149954282231,4,0.1487351417250838,[]
C4,239,0.4779030783297775,6.560669456066946,0.459311185614142,3,0.14233465406888143,[]
C5,325,0.6153611703748857,6.212307692307692,0.49405669003352637,4,0.19536726607741542,[3]
C6,454,0.7930508991161231,5.7312775330396475,0.4657116732703444,4,0.24230417555623285,"[2, 4, 5]"
C7,331,0.48369399573300825,4.794561933534744,0.46967387991466014,4,0.15909783602560196,[]
C8,264,0.5135629381286193,6.382575757575758,0.13867723255105152,4,0.1728131667174642,[1]
C9,117,0.1728131667174642,4.846153846153846,0.0743675708625419,4,0.0521182566290765,[]
C10,73,0.08625419079548918,3.8767123287671232,0.08625419079548918,2,0.03047851264858275,[]
C11,82,0.10697957939652544,4.280487804878049,0.06309052118256629,2,0.03809814081072844,[]
C12,213,0.22340749771411156,3.4413145539906105,0.1773849436147516,4,0.0664431575739104,[6]
