Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,0,0.0,0.0,0.0,0,0.0,[]
C2,16,0.11998273629693569,17.375,0.04013810962451446,6,0.073370738023306,"[2, 6]"
C3,15,0.13508847647820457,20.866666666666667,0.022442813983599482,5,0.07466551575312905,[]
C4,7,0.0293482952093224,9.714285714285714,0.028916702632714716,5,0.01855848079413034,[]
C5,24,0.12602503236944324,12.166666666666666,0.02762192490289167,5,0.05567544238239102,[]
C6,52,0.320673284419508,14.288461538461538,0.16184721622788087,4,0.11652999568407424,[5]
C7,35,0.16227880880448856,10.742857142857142,0.16184721622788087,4,0.06646525679758308,[]
C8,32,0.3720328010358222,26.9375,0.015537332757876565,4,0.13120414328873545,"[1, 3, 4]"
C9,15,0.06301251618472162,9.733333333333333,0.02157962883038412,5,0.028053517479499353,[]
C10,6,0.0220112214069918,8.5,0.018990073370738023,5,0.0146741476046612,[]
C11,8,0.032369443245576175,9.375,0.0017263703064307294,5,0.01640051791109193,[]
C12,4,0.015105740181268883,8.75,0.0,6,0.008200258955545965,[]
