Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,2,0.006056018168054504,12.0,0.0058036840777189,5,0.0032803431743628564,[]
C2,26,0.14887711329800657,22.692307692307693,0.030027756749936917,5,0.0815039111784002,[6]
C3,27,0.1688115064345193,24.77777777777778,0.030532424930608124,5,0.08402725208175625,[5]
C4,9,0.0345697703759778,15.222222222222221,0.029523088569265707,4,0.013373706787787031,[]
C5,24,0.10850365884430986,17.916666666666668,0.015392379510471866,4,0.03860711582134747,[]
C6,42,0.3189502901842039,30.095238095238095,0.09033560434014636,1,0.10396164521826899,"[1, 2, 3]"
C7,24,0.09033560434014636,14.916666666666666,0.08983093615947514,1,0.03557910673732021,[]
C8,30,0.19051223820338128,25.166666666666668,0.0070653545293969215,4,0.08907393388846833,[4]
C9,7,0.02195306585919758,12.428571428571429,0.002271006813020439,4,0.013626040878122634,[]
C10,1,0.0027756749936916477,11.0,0.0027756749936916477,4,0.0027756749936916477,[]
C11,4,0.012112036336109008,12.0,0.003028009084027252,3,0.006560686348725713,[]
C12,9,0.0290184203885945,12.777777777777779,0.006056018168054504,5,0.010598031794095382,[]
