Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,2,0.004806041881222108,7.0,0.004806041881222108,1,0.002403020940611054,[]
C2,33,0.11706144867833848,10.333333333333334,0.05286646069344319,3,0.04359766563680055,[]
C3,53,0.25952626158599384,14.264150943396226,0.16855475454857535,3,0.08994164092001374,"[3, 6]"
C4,55,0.19155509783728114,10.145454545454545,0.1743906625472022,5,0.06728458633710951,[]
C5,61,0.2571232406453828,12.278688524590164,0.040508067284586335,4,0.08067284586337109,[5]
C6,53,0.3350497768623412,18.41509433962264,0.15070374184689322,4,0.09955372468245795,"[2, 4]"
C7,39,0.1510470305526948,11.282051282051283,0.1510470305526948,1,0.04668726398901476,[]
C8,50,0.3192584963954686,18.6,0.02265705458290422,1,0.08479231033299005,[1]
C9,17,0.049776862341228974,8.529411764705882,0.013388259526261586,4,0.020940611053896326,[]
C10,5,0.013731548232063165,8.0,0.013731548232063165,4,0.013731548232063165,[]
C11,8,0.023000343288705802,8.375,0.006179196704428424,4,0.017507723995880537,[]
C12,11,0.03226913834534844,8.545454545454545,0.004806041881222108,2,0.013044970820460007,[]
